"Date","Total","Remaining","Completed","Ideal","Issues Completed"
"2021-01-22","3","3","0","0.00",""
"2021-01-23","3","3","0","0.00",""
"2021-01-24","3","3","0","0.00",""
"2021-01-25","3","3","0","0.30",""
"2021-01-26","3","3","0","0.60",""
"2021-01-27","3","0","3","0.90","2,3,14"
"2021-01-28","3","0","3","1.20",""
"2021-01-29","3","0","3","1.50",""
"2021-01-30","3","0","3","1.50",""
"2021-01-31","3","0","3","1.50",""
"2021-02-01","3","0","3","1.80",""
"2021-02-02","3","0","3","2.10",""
"2021-02-03","3","0","3","2.40",""
"2021-02-04","3","0","3","2.70",""
"2021-02-05","3","0","3","3.00",""
