"Date","Total","Remaining","Completed","Ideal","Issues Completed"
"2021-02-06","16","16","0","0.00","22"
"2021-02-07","16","16","0","0.00",""
"2021-02-08","16","16","0","1.14",""
"2021-02-09","16","16","0","2.29",""
"2021-02-10","16","16","0","3.43",""
"2021-02-11","16","16","0","4.57",""
"2021-02-12","16","16","0","5.71",""
"2021-02-13","16","16","0","5.71",""
"2021-02-14","16","16","0","5.71",""
"2021-02-15","16","16","0","6.86",""
"2021-02-16","16","16","0","8.00",""
"2021-02-17","16","16","0","9.14",""
"2021-02-18","16","16","0","10.29",""
"2021-02-19","16","16","0","11.43",""
"2021-02-20","16","16","0","11.43",""
"2021-02-21","16","16","0","11.43",""
"2021-02-22","16","16","0","12.57",""
"2021-02-23","16","16","0","13.71",""
"2021-02-24","16","16","0","14.86",""
"2021-02-25","16","","","16.00","1,4,5,6,7,8,9,10"
"2021-02-26","16","","","17.14",""
