"Date","Total","Remaining","Completed","Ideal","Issues Completed"
"2021-02-06","16","16","0","0.00","22"
"2021-02-07","16","16","0","0.00",""
"2021-02-08","16","16","0","2.00",""
"2021-02-09","16","16","0","4.00",""
"2021-02-10","16","16","0","6.00",""
"2021-02-11","16","16","0","8.00",""
"2021-02-12","16","16","0","10.00",""
"2021-02-13","16","16","0","10.00",""
"2021-02-14","16","16","0","10.00",""
"2021-02-15","16","16","0","12.00",""
"2021-02-16","16","16","0","14.00",""
"2021-02-17","16","16","0","16.00",""
"2021-02-18","16","0","16","18.00","1,4,5,6,7,8,9,10"
